id,index,period,timestamp,minute,second,type/id,type/name,possession,possession_team/id,possession_team/name,play_pattern/id,play_pattern/name,team/id,team/name,player/id,player/name,position/id,position/name,location/0,location/1,duration,shot/statsbomb_xg,shot/end_location/0,shot/end_location/1,shot/end_location/2,shot/technique/id,shot/technique/name,shot/body_part/id,shot/body_part/name,shot/type/id,shot/type/name,shot/outcome/id,shot/outcome/name,shot/first_time,shot/one_on_one,under_pressure,shot/aerial_won,match_id,competition_id,season_id,location.x,location.y,player.name.GK,player.id.GK,location.x.GK,location.y.GK,DistToGoal,DistToKeeper,AngleToGoal,AngleToKeeper,AngleDeviation,avevelocity,DistSGK,density,density.incone,distance.ToD1,distance.ToD2,AttackersBehindBall,DefendersBehindBall,DefendersInCone,InCone.GK,DefArea,distance.ToD1.360,distance.ToD2.360,milliseconds,ElapsedTime,StartOfPossession,TimeInPoss,TimeToPossEnd
83148385-4ddf-45aa-a588-7f6dee494c06,1672,1,39:15.0,39,15,16,Shot,88,971,Chelsea FCW,6,From Counter,971,Chelsea FCW,15553,Karen Julia Carney,21,Left Wing,110,22,1.162707,0.013910409,119,45,3.8,93,Normal,40,Right Foot,87,Open Play,98,Off T,,,,,19714,37,4,110,22,Karen†Bardsley,10170,118,40,20.59126,2,29.0546,90,60.945396,21.241962,19.697716,0.7777733,0.41602515,3.605551,7,1,6,2,1,44,3.605551,7,37,2355.037,2346.197,8.84,1.163
e10054a3-1828-4751-bc57-f471310828ea,1696,1,40:07.2,40,7,16,Shot,90,971,Chelsea FCW,4,From Throw In,971,Chelsea FCW,4647,So-Yun Ji,19,Center Attacking Midfield,112,29,1.021702,0.14664203,115,31,,93,Normal,40,Right Foot,87,Open Play,96,Blocked,,,,,19714,37,4,112,29,Karen†Bardsley,10170,116,38,13.601471,4.472136,36.02737,63.43495,27.407575,3.528966,9.848858,0.7514784,0,3.162278,4.123106,1,4,0,1,100,3.162278,4.123106,163,2407.163,2394.037,13.126,1.603
593bd6cf-dae1-4a17-9035-f65267affd26,1859,1,45:12.5,45,12,16,Shot,99,971,Chelsea FCW,4,From Throw In,971,Chelsea FCW,4659,Ramona Bachmann,23,Center Forward,102,22,1.778398,0.02339951,119,43.2,1.5,93,Normal,40,Right Foot,87,Open Play,100,Saved,,,,,19714,37,4,102,22,Karen†Bardsley,10170,118,40,25.455844,2,45,90,45,15.280186,24.083189,0.5036315,0.08304548,5.830952,8.246211,2,5,1,1,96,3.605551,5.830952,520,2712.52,2708.397,4.123,0
ed45af7b-4a7a-478c-b667-87948532be76,1990,2,01:23.9,46,23,16,Shot,108,971,Chelsea FCW,4,From Throw In,746,Manchester City WFC,4643,Georgia Stanway,15,Left Center Midfield,99,52,1.061399,0.054324675,119,43.4,3.9,93,Normal,40,Right Foot,87,Open Play,98,Off T,,,,,19714,37,4,99,52,Rut†Hedvig†Lindahl,4640,118,41,24.186773,2.236068,119.74488,116.56505,3.17983,20.511252,21.954498,0.2925015,0,9,13.416408,3,4,0,1,450,4.472136,8.062258,902,2912.637,2905.273,7.364,1.061
d3c5bbfe-b11f-462b-94f4-8102b0ac3039,2182,2,08:16.0,53,15,16,Shot,127,746,Manchester City WFC,3,From Free Kick,746,Manchester City WFC,10185,Stephanie Houghton,3,Right Center Back,111,44,0.888854,0.15444857,120,46,2.1,93,Normal,37,Head,87,Open Play,98,Off T,,,,,19714,37,4,111,44,Rut†Hedvig†Lindahl,4640,118,40,9.848858,2,113.96249,90,23.962489,10.372395,8.062258,0.5827721,0,3.605551,6.082763,2,4,0,1,69,2.828427,2.828427,970,3324.705,3323.126,1.579,0.888
49b7a1c0-b958-4c40-bc07-4bb1bc49aafd,2244,2,10:21.7,55,21,16,Shot,131,746,Manchester City WFC,2,From Corner,746,Manchester City WFC,10185,Stephanie Houghton,3,Right Center Back,107,32,1.395036,0.05221769,119,34.2,0.5,90,Diving Header,37,Head,87,Open Play,98,Off T,,,,,19714,37,4,107,32,Rut†Hedvig†Lindahl,4640,119,40,15.264338,1,58.3925,90,31.607502,8.745294,14.422205,1.1547072,0.58457416,2.236068,5.09902,4,7,2,3,55,2.236068,5.09902,743,3450.478,3448.384,2.094,1.395
1ab5336c-d1dd-4e5f-bb49-e62e6e167700,2359,2,14:07.8,59,7,16,Shot,141,746,Manchester City WFC,3,From Free Kick,746,Manchester City WFC,10185,Stephanie Houghton,3,Right Center Back,107,11,1.380018,0.007786068,119,46,3.8,93,Normal,40,Right Foot,62,Free Kick,98,Off T,,,,,19714,37,4,107,11,Rut†Hedvig†Lindahl,4640,118,40,31.780497,2,24.14554,90,65.854458,26.811244,31.016125,0.3950903,0.0745356,13.341664,13.416408,4,9,1,2,35,13.341664,13.416408,774,3676.509,3676.509,0,1.38
02c27e9a-db21-4db1-b8ac-71df29ac5a7e,2389,2,16:02.5,61,2,16,Shot,147,746,Manchester City WFC,2,From Corner,746,Manchester City WFC,15547,Melissa Lawley,22,Right Center Forward,108,25,0.660538,0.05253361,116,35,,93,Normal,40,Right Foot,87,Open Play,96,Blocked,,,,,19714,37,4,108,25,Rut†Hedvig†Lindahl,4640,118,38,19.209373,2.828427,38.65981,45,6.340192,19.387603,16.401219,0.7523675,0.0877058,3.162278,8.544004,5,7,1,2,80,3.162278,4.242641,484,3791.219,3786.627,4.592,1.685
a7bb5165-541c-482c-87c1-862678c0887f,2395,2,16:28.8,61,28,16,Shot,148,746,Manchester City WFC,2,From Corner,746,Manchester City WFC,10185,Stephanie Houghton,3,Right Center Back,105,49,0.567175,0.048642006,110,42,,90,Diving Header,37,Head,87,Open Play,96,Blocked,,,,,19714,37,4,105,49,Rut†Hedvig†Lindahl,4640,118,40,17.492856,2,120.96376,90,30.963757,15.166968,15.811388,0.9755129,0.22310986,3,5.830952,5,8,2,1,98,3,5.830952,809,3817.544,3815.22,2.324,16.87
54cd34f0-e192-43ba-a5f9-67bde73058ce,2423,2,16:58.3,61,58,16,Shot,149,971,Chelsea FCW,6,From Counter,971,Chelsea FCW,4659,Ramona Bachmann,23,Center Forward,110,46,1.285325,0.07178509,120,33.5,0.2,89,Backheel,40,Right Foot,87,Open Play,98,Off T,,,,,19714,37,4,110,46,Karen†Bardsley,10170,119,41,11.661904,1.414214,120.96376,135,14.036243,12.45429,10.29563,0.3113126,0.2236068,4.472136,11.401754,1,2,1,1,119,4.472136,5,284,3847.019,3836.847,10.172,1.285
846d17c0-b91b-451a-b837-06603f93ec67,2455,2,18:10.2,63,10,16,Shot,151,746,Manchester City WFC,3,From Free Kick,746,Manchester City WFC,4654,Nikita Parris,24,Left Center Forward,115,55,1.351734,0.01672646,119,38.1,4.3,91,Half Volley,40,Right Foot,87,Open Play,98,Off T,,TRUE,,,19714,37,4,115,55,Rut†Hedvig†Lindahl,4640,118,41,15.811388,2.236068,161.56505,116.56505,45,12.847885,14.317821,0,0,-3.162278,-16.155494,0,0,0,1,42,3.162278,16.155494,237,3918.972,3915.173,3.799,1.352
963d8662-b0cd-44f3-9dbf-3135e00fd656,2558,2,20:50.8,65,50,16,Shot,158,971,Chelsea FCW,2,From Corner,971,Chelsea FCW,4659,Ramona Bachmann,23,Center Forward,116,27,1.055251,0.030731976,119,36.6,0.2,93,Normal,38,Left Foot,87,Open Play,100,Saved,,,,,19714,37,4,116,27,Karen†Bardsley,10170,119,41,13.601471,1.414214,17.10273,135,117.897271,9.531223,14.317821,0.5734662,0,3.605551,5.09902,0,3,0,2,140,3.605551,4.472136,846,4079.581,4073.025,6.556,0
5fc6986e-af9e-4bfb-9877-99bae13d9343,2665,2,24:51.4,69,51,16,Shot,166,971,Chelsea FCW,1,Regular Play,971,Chelsea FCW,4647,So-Yun Ji,19,Center Attacking Midfield,99,47,0.55041,0.06467682,103,48,,93,Normal,40,Right Foot,87,Open Play,96,Blocked,,,,,19714,37,4,99,47,Karen†Bardsley,10170,119,41,22.135944,1.414214,108.43495,135,26.565051,7.490972,20.880613,0.6803961,0.13130643,4.123106,4.123106,2,4,1,1,78,4.123106,4.123106,434,4320.169,4314.321,5.848,5.892
