id,index,period,timestamp,minute,second,type/id,type/name,possession,possession_team/id,possession_team/name,play_pattern/id,play_pattern/name,team/id,team/name,player/id,player/name,position/id,position/name,location/0,location/1,duration,shot/statsbomb_xg,shot/end_location/0,shot/end_location/1,shot/end_location/2,shot/technique/id,shot/technique/name,shot/body_part/id,shot/body_part/name,shot/type/id,shot/type/name,shot/outcome/id,shot/outcome/name,shot/first_time,shot/one_on_one,under_pressure,shot/aerial_won
54cd34f0-e192-43ba-a5f9-67bde73058ce,2423,2,16:58.3,61,58,16,Shot,149,971,Chelsea FCW,6,From Counter,971,Chelsea FCW,4659,Ramona Bachmann,23,Center Forward,110,46,1.285325,0.07178509,120,33.5,0.2,89,Backheel,40,Right Foot,87,Open Play,98,Off T,,,,
846d17c0-b91b-451a-b837-06603f93ec67,2455,2,18:10.2,63,10,16,Shot,151,746,Manchester City WFC,3,From Free Kick,746,Manchester City WFC,4654,Nikita Parris,24,Left Center Forward,115,55,1.351734,0.01672646,119,38.1,4.3,91,Half Volley,40,Right Foot,87,Open Play,98,Off T,,TRUE,,
963d8662-b0cd-44f3-9dbf-3135e00fd656,2558,2,20:50.8,65,50,16,Shot,158,971,Chelsea FCW,2,From Corner,971,Chelsea FCW,4659,Ramona Bachmann,23,Center Forward,116,27,1.055251,0.030731976,119,36.6,0.2,93,Normal,38,Left Foot,87,Open Play,100,Saved,,,,
5fc6986e-af9e-4bfb-9877-99bae13d9343,2665,2,24:51.4,69,51,16,Shot,166,971,Chelsea FCW,1,Regular Play,971,Chelsea FCW,4647,So-Yun Ji,19,Center Attacking Midfield,99,47,0.55041,0.06467682,103,48,,93,Normal,40,Right Foot,87,Open Play,96,Blocked,,,,
ac187155-8c10-40d7-a791-161e21943933,2681,2,25:08.1,70,8,16,Shot,167,746,Manchester City WFC,6,From Counter,746,Manchester City WFC,4650,Nadia Nadim,23,Center Forward,96,22,2.140323,0.013480071,120,46.1,2,93,Normal,40,Right Foot,87,Open Play,98,Off T,,,,
1c525a7a-493e-490b-8c71-803c73829ae4,2767,2,28:02.3,73,2,16,Shot,175,971,Chelsea FCW,1,Regular Play,971,Chelsea FCW,4641,Francesca Kirby,9,Right Defensive Midfield,109,24,1.403119,0.06865831,120,45.6,0.5,93,Normal,40,Right Foot,87,Open Play,98,Off T,,,,
affe80c6-77dd-42a1-953e-8e0ac5e5c0b6,2781,2,29:29.4,74,29,16,Shot,177,746,Manchester City WFC,2,From Corner,746,Manchester City WFC,17524,Jennifer Patricia Beattie,5,Left Center Back,110,37,0.502165,0.064698346,114,32,,93,Normal,37,Head,87,Open Play,101,Wayward,,,,
52bddfdf-0852-4be2-8e68-127dcfda1dd9,2785,2,29:30.5,74,30,16,Shot,177,746,Manchester City WFC,2,From Corner,746,Manchester City WFC,4654,Nikita Parris,24,Left Center Forward,114,31,0.184881,0.1471805,116,36,,93,Normal,40,Right Foot,87,Open Play,96,Blocked,,,,
2f21fe52-44d6-48b2-b6a8-482544447461,2791,2,29:33.9,74,33,16,Shot,177,746,Manchester City WFC,2,From Corner,746,Manchester City WFC,4654,Nikita Parris,24,Left Center Forward,111,25,0.495975,0.034212105,112,29,,95,Volley,40,Right Foot,87,Open Play,96,Blocked,,,,
182c0482-f083-486d-8d4c-d26b707af8d5,3138,2,38:43.8,83,43,16,Shot,196,971,Chelsea FCW,1,Regular Play,971,Chelsea FCW,4638,Drew Spence,12,Right Midfield,98,48,1.462389,0.044750817,120,43.2,0.3,93,Normal,40,Right Foot,87,Open Play,100,Saved,,,,
3990e5d7-228f-4ff6-ab89-d4d224a93af6,3394,2,45:21.4,90,21,16,Shot,208,971,Chelsea FCW,1,Regular Play,971,Chelsea FCW,4660,Erin Cuthbert,15,Left Center Midfield,102,26,1.527016,0.041644186,119,39.9,1.5,93,Normal,40,Right Foot,87,Open Play,100,Saved,,,,
e4291759-38af-427a-afda-459c979f1003,3486,2,49:25.6,94,25,16,Shot,213,971,Chelsea FCW,3,From Free Kick,971,Chelsea FCW,4638,Drew Spence,12,Right Midfield,104,41,0.438644,0.07041053,108,41,,93,Normal,40,Right Foot,87,Open Play,96,Blocked,,,,
ab2792f1-6fab-4126-8836-f45840b70f81,447,1,09:11.4,9,11,16,Shot,21,169,Bayern Munich,1,Regular Play,169,Bayern Munich,19289,Ivica Olić,24,Left Center Forward,114,48,0.3582,0.18124305,120,46.9,1.3,93,Normal,40,Right Foot,87,Open Play,98,Off T,TRUE,,,
519f4448-527b-4824-bc4b-b8e0b91255d4,473,1,10:56.8,10,56,16,Shot,26,238,Inter Milan,1,Regular Play,238,Inter Milan,19299,Maicon Douglas Sisenando,2,Right Back,92,63,1.622369,0.006345262,120,30.3,0.2,93,Normal,40,Right Foot,87,Open Play,98,Off T,,,,
